,squareMeters,numberOfRooms,floors,cityCode,cityPartRange,numPrevOwners,made,isNewBuilt,hasStormProtector,basement,attic,garage,hasStorageRoom,hasGuestRoom,price,category,PoolAndYard
0,75523,3,63,9373,3,8,2005,FALSE,TRUE,4313,9005,956,FALSE,7,7559081.5,Basic,has pool and no yard
1,80771,39,98,39381,8,6,2015,TRUE,FALSE,3653,2436,128,TRUE,2,8085989.5,Luxury,has pool and has yard
2,55712,58,19,34457,6,8,2021,FALSE,FALSE,2937,8852,135,TRUE,9,5574642.1,Basic,has pool and no yard
3,32316,47,6,27939,10,4,2012,FALSE,TRUE,659,7141,359,FALSE,3,3232561.2,Basic,no pool and no yard
4,70429,19,90,38045,3,7,1990,TRUE,FALSE,8435,2429,292,TRUE,4,7055052,Luxury,has pool and has yard
5,39223,36,17,39489,8,6,2012,FALSE,TRUE,2009,4552,757,FALSE,1,3926647.2,Basic,has pool and no yard
6,58682,10,99,6450,10,9,1995,TRUE,TRUE,5930,9453,848,FALSE,5,5876376.5,Luxury,has pool and has yard
7,86929,100,11,98155,3,4,2003,TRUE,FALSE,6326,4748,654,FALSE,10,8696869.3,Basic,no pool and has yard
8,51522,3,61,9047,8,3,2012,TRUE,TRUE,632,5792,807,TRUE,5,5154055.2,Basic,no pool and no yard
9,39686,42,15,71019,5,8,2021,TRUE,TRUE,5198,5342,591,TRUE,3,3970892.1,Basic,no pool and no yard
10,23563,21,90,91058,6,8,1993,TRUE,FALSE,703,852,684,TRUE,10,2366397.3,Basic,has pool and no yard
11,96470,74,21,92029,4,2,2011,TRUE,TRUE,5414,1172,716,TRUE,9,9652258.1,Basic,no pool and has yard
12,19127,31,5,7475,2,9,2008,FALSE,FALSE,5387,4430,374,FALSE,4,1914688.8,Basic,no pool and has yard
13,13087,44,77,40475,8,4,2004,TRUE,FALSE,1745,724,582,FALSE,0,1320803.4,Basic,no pool and has yard
14,79770,3,69,54812,10,5,2018,FALSE,TRUE,8871,7117,240,FALSE,7,7986665.8,Basic,has pool and no yard
15,75985,60,67,6517,6,9,2009,TRUE,TRUE,4878,281,384,TRUE,5,7607322.9,Basic,no pool and has yard
16,64169,88,6,61711,3,9,2011,TRUE,TRUE,3054,129,726,FALSE,9,6420823.1,Basic,has pool and no yard
17,99371,31,16,96297,7,8,2013,TRUE,TRUE,3258,6296,354,TRUE,8,9944705.3,Luxury,has pool and has yard
18,25966,37,17,22818,3,1,2016,FALSE,FALSE,8257,2557,162,FALSE,6,2604486.6,Basic,has pool and has yard
19,41792,43,10,80768,9,5,2017,TRUE,TRUE,2950,9573,572,TRUE,5,4187667.7,Luxury,has pool and has yard
20,28795,64,50,97667,3,4,2009,TRUE,TRUE,9862,2666,330,TRUE,0,2888047.9,Luxury,has pool and has yard
21,92383,12,78,71982,3,7,2000,FALSE,FALSE,7507,9056,892,TRUE,1,9244344,Basic,no pool and no yard
22,33279,64,65,91690,3,2,2019,TRUE,TRUE,2427,717,732,FALSE,1,3333351.9,Basic,no pool and has yard
23,34782,47,73,35331,1,4,2020,FALSE,TRUE,9586,6604,822,FALSE,2,3482594,Basic,no pool and no yard
24,13386,51,90,87978,4,6,1993,FALSE,FALSE,2885,1149,904,TRUE,4,1342509.3,Basic,no pool and no yard
25,20883,56,54,85377,5,9,2018,FALSE,FALSE,9982,8142,670,TRUE,10,2091505.8,Basic,no pool and no yard
26,95121,46,3,9382,7,9,1994,FALSE,FALSE,615,1221,328,FALSE,10,9515440.4,Basic,has pool and no yard
27,6071,72,14,8410,2,6,2003,TRUE,TRUE,3306,3635,295,FALSE,2,612471.3,Basic,no pool and has yard
28,11844,43,55,46144,6,5,1993,TRUE,FALSE,5292,8233,395,FALSE,10,1189939.3,Basic,no pool and no yard
29,52078,7,73,20372,10,4,2016,TRUE,TRUE,1864,2049,558,FALSE,5,5217708.6,Luxury,has pool and has yard
30,25897,98,92,20344,2,4,1993,FALSE,TRUE,9799,9569,116,TRUE,10,2598763.3,Basic,no pool and has yard
31,85443,40,54,339,3,1,2021,TRUE,FALSE,3056,8928,292,TRUE,2,8555234.1,Luxury,has pool and has yard
32,11412,78,79,73807,1,5,2009,TRUE,TRUE,6899,8997,695,FALSE,0,1145642.9,Basic,no pool and no yard
33,97550,89,98,78155,2,5,2014,TRUE,FALSE,5391,897,388,FALSE,0,9765099.4,Luxury,has pool and has yard
34,76485,47,9,90254,2,9,2008,TRUE,FALSE,2860,3129,982,FALSE,1,7653300.8,Basic,no pool and has yard
35,26169,29,62,66489,9,7,1993,FALSE,TRUE,7918,187,919,TRUE,9,2622399.3,Basic,no pool and no yard
36,24239,87,91,73056,4,7,1998,FALSE,FALSE,6656,7149,698,FALSE,3,2427801.8,Basic,no pool and has yard
37,36239,8,24,66771,7,6,1990,FALSE,TRUE,6679,6528,798,TRUE,5,3627708,Basic,has pool and no yard
38,10500,88,49,10533,10,1,2013,TRUE,TRUE,4170,5501,422,FALSE,5,1057021.3,Basic,has pool and no yard
39,87060,27,91,51803,8,10,2000,FALSE,FALSE,6629,435,512,FALSE,7,8711426,Basic,has pool and no yard
40,66683,19,6,50801,6,2,2001,FALSE,FALSE,7473,796,237,TRUE,3,6677649.1,Basic,has pool and has yard
41,66569,59,56,15574,7,9,2016,TRUE,TRUE,2020,7188,269,TRUE,10,6667802.6,Luxury,has pool and has yard
42,84559,29,69,53057,7,7,2000,TRUE,FALSE,3573,9556,918,TRUE,8,8460604,Basic,has pool and no yard
43,28749,39,53,80821,6,5,1996,TRUE,FALSE,8113,2352,982,TRUE,3,2877997.6,Basic,has pool and no yard
44,76091,38,32,59451,5,8,2016,TRUE,FALSE,8150,6037,930,FALSE,7,7614076.6,Basic,no pool and has yard
45,92696,49,38,74381,9,2,2021,FALSE,FALSE,1559,5111,957,TRUE,2,9272740.1,Basic,no pool and has yard
46,46988,66,27,4863,9,10,1991,TRUE,TRUE,8339,6331,874,TRUE,4,4707341.1,Luxury,has pool and has yard
47,48062,22,4,28104,1,10,2008,TRUE,FALSE,7908,552,817,TRUE,1,4809993.8,Basic,has pool and no yard
48,5767,97,11,44551,7,3,1998,TRUE,FALSE,2516,5601,307,TRUE,4,586742.8,Luxury,has pool and has yard
49,59800,47,27,44815,6,9,2021,FALSE,FALSE,5075,3104,864,FALSE,4,5984462.1,Basic,has pool and no yard
50,54836,25,53,64601,10,5,2020,TRUE,FALSE,5278,1059,313,TRUE,6,5492532,Basic,has pool and no yard
51,54318,10,52,76737,4,2,1998,TRUE,TRUE,9580,3787,227,TRUE,1,5444967.8,Luxury,has pool and has yard
52,70021,52,28,95678,4,6,1992,FALSE,TRUE,4480,6919,680,TRUE,1,7005572.2,Basic,no pool and has yard
53,54368,11,20,55761,3,7,2021,FALSE,FALSE,231,1939,223,FALSE,8,5446398.1,Basic,has pool and has yard
54,31421,29,68,67505,5,3,1999,TRUE,TRUE,8949,2080,630,FALSE,5,3147829.9,Basic,has pool and no yard
55,63053,6,28,45312,3,1,1997,FALSE,TRUE,8414,6270,939,TRUE,8,6315375.7,Basic,has pool and has yard
56,4187,89,17,7488,1,6,1994,TRUE,FALSE,186,2627,559,TRUE,2,421906.4,Basic,has pool and no yard
57,33108,82,83,52015,6,10,2016,TRUE,FALSE,6250,8751,552,TRUE,2,3316069.6,Basic,has pool and no yard
58,64393,8,51,95335,4,1,1990,TRUE,FALSE,3835,2403,559,FALSE,6,6441378,Basic,no pool and no yard
59,93876,60,70,5484,2,1,1999,TRUE,TRUE,4086,5991,494,TRUE,8,9390891.9,Basic,has pool and no yard
60,67040,60,22,1690,4,8,1993,TRUE,FALSE,4817,5222,927,FALSE,0,6714247.3,Luxury,has pool and has yard
61,47938,17,68,64247,7,1,2013,FALSE,TRUE,327,209,352,TRUE,8,4797883.3,Basic,no pool and no yard
62,39090,56,74,2922,4,9,2010,FALSE,FALSE,3572,8722,811,TRUE,6,3917691,Basic,no pool and has yard
63,43609,66,55,6739,4,9,2005,FALSE,TRUE,3388,2353,120,TRUE,7,4364910.5,Basic,no pool and no yard
64,41998,74,17,32039,6,1,1990,TRUE,FALSE,6838,4925,828,FALSE,9,4203344,Basic,no pool and has yard
65,36496,9,47,51526,5,1,2017,FALSE,TRUE,2768,6291,230,TRUE,0,3656368.7,Basic,has pool and no yard
66,84016,15,55,63595,1,7,2016,TRUE,FALSE,3284,9879,641,FALSE,2,8410054.6,Basic,no pool and has yard
67,3087,27,94,9283,3,10,2005,TRUE,TRUE,5866,3557,199,TRUE,1,321717.5,Luxury,has pool and has yard
68,89768,48,17,71000,6,9,1993,FALSE,TRUE,2485,108,864,FALSE,7,8980518.3,Basic,has pool and has yard
69,30226,74,87,71053,10,9,2007,FALSE,FALSE,515,13,223,FALSE,4,3039243.7,Basic,has pool and has yard
70,58478,5,35,5898,6,10,2016,FALSE,FALSE,8366,4799,979,TRUE,7,5853710.6,Basic,has pool and no yard
71,66621,48,89,52165,10,1,1995,TRUE,TRUE,5024,8103,388,TRUE,4,6666403.5,Basic,no pool and no yard
72,73314,43,38,49895,10,1,2018,FALSE,TRUE,3281,5020,968,FALSE,8,7336538.8,Basic,has pool and no yard
73,59972,28,18,32083,9,8,2021,TRUE,TRUE,8384,7226,226,TRUE,4,6000826.1,Basic,has pool and no yard
74,71591,20,58,46834,7,4,1998,FALSE,FALSE,6486,3310,366,FALSE,0,7165980.8,Basic,no pool and has yard
75,92462,52,46,22405,9,6,2019,TRUE,FALSE,9584,8587,677,FALSE,8,9257840.9,Luxury,has pool and has yard
76,52325,60,24,76804,6,5,1992,TRUE,FALSE,8987,3149,808,TRUE,4,5238533.2,Luxury,has pool and has yard
77,67311,67,10,45626,3,3,1990,TRUE,TRUE,6928,7808,774,TRUE,5,6732249,Basic,no pool and no yard
78,45050,99,87,20318,4,8,2013,TRUE,FALSE,5218,8217,144,FALSE,3,4508695.3,Basic,has pool and no yard
79,61534,73,97,22943,9,5,2001,FALSE,FALSE,9265,8974,755,TRUE,6,6159875.1,Basic,no pool and has yard
80,84091,50,72,22718,7,5,1993,FALSE,FALSE,2668,4669,766,FALSE,8,8414104.3,Basic,has pool and no yard
81,77579,69,97,88798,6,1,1999,TRUE,FALSE,4850,5648,144,TRUE,8,7767797.9,Luxury,has pool and has yard
82,25204,31,37,87552,4,10,2020,TRUE,FALSE,6560,4287,116,FALSE,6,2530488,Luxury,has pool and has yard
83,42059,46,62,43289,6,3,2017,TRUE,TRUE,8827,1853,860,TRUE,3,4212125.7,Basic,has pool and no yard
84,38430,43,51,3406,6,4,2021,FALSE,TRUE,1214,606,289,FALSE,8,3846214.1,Basic,has pool and no yard
85,7069,4,89,55300,9,2,2009,TRUE,TRUE,7499,8969,493,TRUE,3,709107.9,Basic,no pool and no yard
86,34780,75,9,67297,4,5,2019,FALSE,TRUE,3033,6475,800,TRUE,4,3480536.9,Basic,has pool and no yard
87,12757,100,7,19550,7,8,2020,TRUE,TRUE,6795,9983,738,FALSE,5,1277834,Basic,no pool and has yard
88,33749,74,38,73976,10,7,1999,TRUE,TRUE,1729,7952,616,TRUE,2,3380855.9,Basic,has pool and no yard
89,600,37,43,72736,4,7,2011,TRUE,FALSE,6738,5603,866,FALSE,1,63402.1,Basic,no pool and has yard
90,7239,61,83,26435,4,7,1994,TRUE,FALSE,7782,2518,986,FALSE,4,733776.4,Basic,no pool and has yard
91,34919,20,84,60113,5,1,1997,FALSE,FALSE,6566,628,408,FALSE,2,3499532.7,Basic,has pool and has yard
92,25614,29,27,52970,4,1,1994,TRUE,FALSE,700,377,519,TRUE,9,2563970.4,Basic,no pool and no yard
93,51434,64,23,79754,10,2,2012,TRUE,TRUE,2080,9575,753,FALSE,7,5146226.2,Basic,no pool and no yard
94,78960,55,76,23408,8,4,2015,TRUE,TRUE,7126,5012,974,TRUE,0,7900996.5,Basic,has pool and no yard
95,70751,64,41,92268,1,9,2006,TRUE,FALSE,1506,590,794,TRUE,7,7084110.6,Luxury,has pool and has yard
96,81870,60,100,58048,3,8,2020,FALSE,FALSE,3632,5960,723,TRUE,3,8198185,Basic,has pool and no yard
97,91559,36,21,82521,6,2,2007,FALSE,TRUE,788,4788,132,TRUE,8,9161130.7,Basic,has pool and no yard
98,72098,9,67,91168,2,3,2014,TRUE,FALSE,9080,9356,740,TRUE,9,7216904.4,Basic,has pool and no yard
99,23177,19,52,69373,4,1,2003,FALSE,FALSE,2706,4593,648,TRUE,6,2318776.3,Basic,no pool and no yard
100,39517,92,85,51212,4,6,2019,FALSE,TRUE,7618,1172,810,TRUE,9,3953491.9,Basic,no pool and no yard
101,55232,23,8,849,8,3,1991,FALSE,FALSE,1492,5697,625,FALSE,6,5524015.1,Basic,no pool and no yard
102,53735,49,92,2423,4,7,2006,FALSE,FALSE,8654,9588,290,TRUE,8,5384554.6,Basic,has pool and no yard
103,67753,72,78,31721,3,9,1995,TRUE,TRUE,7480,2068,929,FALSE,6,6789580.5,Luxury,has pool and has yard
104,1450,59,1,2317,10,9,2018,TRUE,TRUE,1285,8119,869,TRUE,10,146181.8,Basic,no pool and no yard
105,82141,93,61,74213,3,7,2019,TRUE,TRUE,8785,6602,968,TRUE,4,8225970.9,Luxury,has pool and has yard
106,17868,73,35,48674,4,9,2013,FALSE,FALSE,1718,5498,710,TRUE,2,1792308.3,Basic,no pool and has yard
107,71397,93,93,68199,3,10,1995,TRUE,TRUE,3477,5530,342,FALSE,2,7145471.5,Basic,no pool and no yard
108,32623,35,14,80204,10,6,2003,TRUE,FALSE,4633,7551,126,FALSE,8,3267852.3,Basic,has pool and no yard
109,23841,71,25,32106,3,7,2010,TRUE,TRUE,7590,5224,564,TRUE,1,2390804,Luxury,has pool and has yard
110,16495,94,6,90448,3,10,1991,TRUE,TRUE,2214,1464,929,TRUE,7,1650711.1,Basic,no pool and no yard
111,39109,24,67,74477,4,3,2002,TRUE,FALSE,1642,2925,139,FALSE,9,3917652.2,Basic,no pool and has yard
112,65151,81,3,66191,7,9,1991,FALSE,FALSE,3218,9119,849,FALSE,4,6522781.1,Basic,has pool and has yard
113,61484,91,94,87015,8,8,2013,TRUE,FALSE,5486,3641,766,FALSE,3,6154833.3,Basic,no pool and has yard
